ingredient,quantity_available,unit
Alfredo Sauce,51,kg
Anchovies,72,kg
Artichoke,115,kg
Artichokes,79,kg
Arugula,68,kg
Asiago Cheese,114,kg
Bacon,90,kg
Barbecue Sauce,93,kg
Barbecued Chicken,42,kg
Beef Chuck Roast,41,kg
Blue Cheese,57,kg
Brie Carre Cheese,41,kg
Calabrese Salami,68,kg
Capocollo,92,kg
Caramelized Onions,88,kg
Chicken,103,kg
Chipotle Sauce,51,kg
Chorizo Sausage,41,kg
Cilantro,92,kg
Coarse Sicilian Salami,74,kg
Corn,45,kg
Eggplant,114,kg
Feta Cheese,75,kg
Fontina Cheese,98,kg
Friggitello Peppers,90,kg
Garlic,59,kg
Genoa Salami,73,kg
Goat Cheese,63,kg
Gorgonzola Piccante Cheese,86,kg
Gouda Cheese,104,kg
Green Olives,118,kg
Green Peppers,64,kg
Italian Sausage,60,kg
Jalapeno Peppers,114,kg
Kalamata Olives,87,kg
Luganega Sausage,114,kg
Mozzarella Cheese,108,kg
Mushrooms,57,kg
Onions,84,kg
Oregano,115,kg
Pancetta,97,kg
Parmigiano Reggiano Cheese,116,kg
Pears,44,kg
Peperoncini verdi,86,kg
Pepperoni,89,kg
Pesto Sauce,74,kg
Pineapple,91,kg
Plum Tomatoes,46,kg
Prosciutto,94,kg
Prosciutto di San Daniele,84,kg
Provolone Cheese,112,kg
Red Onions,96,kg
Red Peppers,69,kg
Ricotta Cheese,61,kg
Romano Cheese,63,kg
Sliced Ham,40,kg
Smoked Gouda Cheese,107,kg
Soppressata Salami,96,kg
Spinach,96,kg
Sun-dried Tomatoes,47,kg
Thai Sweet Chilli Sauce,111,kg
Thyme,109,kg
Tomatoes,60,kg
Zucchini,75,kg
‘Nduja Salami,88,kg
